Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2011,100,45,43,-1,-1,-22,-14,-1,19,-26,-25,-13,-43,0,0,0,-43,-43,0,0,0,0,32,32,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0,26,17,105,
06/30/2011,111,85,50,112,112,-148,-112,-20,40,-56,19,60,-36,0,0,0,-36,-15,-21,0,0,0,95,112,-17,0,0,7,0,-4,,,,0,0,0,-8,1,179,
09/30/2011,1,70,48,34,34,-151,25,-55,-15,-106,1,-155,-24,0,0,0,-24,-24,0,0,0,0,-131,0,-131,0,0,-18,0,0,0.0,0.0,0.0,0,0,0,-19,-13,-185,
12/31/2011,190,95,48,13,13,31,0,4,-26,53,-4,-23,-24,0,0,0,-24,-24,0,0,0,0,1,0,1,0,0,2,0,-1,,,,0,0,0,7,-8,161,
03/31/2012,160,32,50,28,28,-23,-19,2,23,-29,-1,-26,-25,0,0,0,-25,-25,0,0,0,0,-1,0,-1,0,0,-47,0,0,0.0,0.0,0.0,-50,0,-50,4,7,94,
06/30/2012,303,96,50,29,29,130,46,25,-7,66,5,-35,-36,0,0,0,-36,-27,-9,0,0,0,2,59,-57,0,0,-46,0,0,0.0,0.0,0.0,-50,0,-50,-1,-16,206,
09/30/2012,79,84,45,34,34,-88,22,-22,7,-95,0,-20,-18,0,0,0,-18,-18,0,0,0,0,-2,0,-2,0,0,-259,0,-250,,,,7,7,0,-16,14,-186,
12/31/2012,179,108,46,13,13,12,-32,13,-7,38,0,-83,-22,0,0,0,-22,-22,0,0,0,0,-60,0,-60,0,-1,0,0,0,0.0,0.0,0.0,0,0,0,0,1,97,
03/31/2013,168,84,46,16,16,22,24,3,4,-9,0,-40,-23,0,0,0,-23,-23,0,0,0,0,-4,0,-4,0,-13,228,0,297,,,,-72,36,-108,3,-9,347,
06/30/2013,188,109,47,31,31,0,-3,5,-37,35,0,-28,-42,0,0,0,-42,-21,-21,0,0,0,0,0,0,0,14,-268,0,0,0.0,0.0,0.0,-268,24,-292,0,1,-107,
09/30/2013,74,78,46,36,36,-86,64,-23,-23,-104,0,-18,-18,0,0,0,-18,-18,0,0,0,0,0,0,0,0,0,-91,0,-1,,,,-80,34,-114,-10,10,-25,
12/31/2013,223,97,47,20,20,59,10,14,10,25,0,-521,-19,0,0,0,-19,-19,0,0,0,0,-501,0,-501,0,-1,-168,0,0,0.0,0.0,0.0,-170,17,-187,2,2,-464,
03/31/2014,158,102,53,-9,-9,12,0,-23,51,-16,0,-135,-24,0,0,0,-24,-24,0,0,0,0,-16,0,-16,0,-95,-65,0,-2,,,,-64,42,-106,1,2,-40,
06/30/2014,230,140,54,-44,-44,80,-98,16,5,157,0,-44,-30,5,5,0,-35,-32,-3,0,0,0,-2,0,-2,0,-12,846,0,987,,,,-140,22,-162,-1,2,1034,
09/30/2014,68,76,49,24,24,-81,142,-51,-28,-144,0,-57,-21,0,0,0,-21,-21,0,0,0,0,-32,0,-32,0,-4,-555,0,-452,,,,-94,17,-111,-9,-23,-567,
12/31/2014,138,173,50,28,28,-113,-67,-9,-2,-35,0,-33,-28,0,0,0,-28,-28,0,0,0,0,-5,0,-5,0,0,24,0,0,0.0,0.0,0.0,17,17,0,7,-19,110,
