Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
06/30/2002,45.0,131.0,,-86.0,,,,,,,,,,,,,,,,,,,
09/30/2002,208.921997,124.897003,,84.025002,,,,,,,,,,,,,,,,,,,
12/31/2002,103.0,73.0,,30.0,,,,,,,,,,,,,,,,,,,
03/31/2003,95.0,115.0,,-20.0,,,,,,,,,,,,,,,,,,,
06/30/2003,125.0,146.0,,-21.0,,,,,,,,,,,,,,,,,,,
09/30/2003,247.0,132.0,,115.0,,,,,,,,,,,,,,,,,,,
12/31/2003,70.0,99.0,,-29.0,,,,,,,,,,,,,,,,,,,
03/31/2004,482.0,128.0,,354.0,,-830.0,0.0,0.0,-806.0,,-24.0,396.0,-47.0,0.0,152.0,0.0,0.0,-63.0,347.0,7.0,48.0,,
06/30/2004,165.0,142.0,,23.0,,-428.0,0.0,0.0,-346.0,,-82.0,212.0,-52.0,0.0,89.0,0.0,0.0,-164.0,338.0,1.0,-51.0,,
09/30/2004,167.0,134.0,,33.0,,-345.0,0.0,0.0,-323.0,,-22.0,134.0,-52.0,0.0,,-28.0,1.0,,212.0,1.0,-44.0,,
12/31/2004,177.0,145.663,,31.337,,-183.0,0.0,0.0,-3526.0,3538.0,-195.0,68.0,-52.0,-399.0,387.0,0.0,16.0,0.0,125.0,-9.0,62.0,,
03/31/2005,124.0,161.0,,-37.0,,-386.0,0.0,0.0,-378.0,,-8.0,149.0,-52.0,0.0,36.0,,,-40.0,204.0,1.0,-113.0,,
06/30/2005,84.0,137.0,,-53.0,,-294.0,0.0,0.0,-281.0,,-13.0,217.0,-56.0,0.0,,-94.0,,-66.0,131.0,302.0,7.0,,
09/30/2005,81.0,131.0,,-50.0,,-175.0,0.0,0.0,-155.0,,-20.0,127.0,-57.0,0.0,126.0,,,-39.0,97.0,0.0,33.0,,
12/31/2005,187.0,150.0,,37.0,,-124.0,0.0,0.0,-108.0,,-16.0,73.0,-55.0,56.0,,-68.0,19.0,,124.0,-3.0,136.0,,
