Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2017,-6190.0,-283,2110,293.0,36.0,157.0,100.0,-8310.0,-475.0,2711.0,-268.0,-10278.0,0.0,3499.0,-3919.0,93.0,0.0,93.0,-4012.0,-3975.0,-37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7418.0,1926.0,0.0,1985.0,,0.0,0.0,0.0,-59.0,0.0,-765.0,
06/30/2017,1924.0,206,2054,385.0,41.0,282.0,62.0,-721.0,-53.0,181.0,-474.0,-375.0,0.0,-953.0,-2422.0,101.0,0.0,101.0,-2523.0,-2510.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.0,-1363.0,0.0,-1219.0,,0.0,0.0,0.0,-144.0,0.0,-392.0,
09/30/2017,2802.0,-48,2094,-166.0,46.0,82.0,-294.0,922.0,-126.0,,313.0,916.0,,716.0,-2287.0,117.0,0.0,117.0,-2404.0,-2398.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,-1197.0,0.0,-1182.0,,1.0,1.0,0.0,-16.0,0.0,2321.0,
12/31/2017,2683.0,7162,2173,-5934.0,50.0,-7071.0,1087.0,-718.0,105.0,389.0,57.0,-1450.0,0.0,-1379.0,-3088.0,149.0,0.0,149.0,-3237.0,-3164.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.0,-1680.0,0.0,-1685.0,,11.0,11.0,0.0,-6.0,0.0,-376.0,
03/31/2018,5657.0,69,2259,230.0,45.0,-412.0,597.0,3099.0,157.0,3921.0,161.0,-1140.0,0.0,-7411.0,-6357.0,160.0,0.0,160.0,-6517.0,-6494.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1054.0,3901.0,0.0,4097.0,,0.0,0.0,0.0,-196.0,0.0,2147.0,
06/30/2018,2430.0,176,2330,166.0,40.0,39.0,87.0,-242.0,273.0,421.0,-766.0,-170.0,0.0,-4369.0,-2875.0,133.0,0.0,133.0,-3008.0,-2949.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1494.0,-295.0,0.0,-45.0,,0.0,0.0,0.0,-250.0,0.0,-2234.0,
09/30/2018,2927.0,196,2361,-30.0,28.0,0.0,-58.0,400.0,-188.0,-421.0,671.0,338.0,0.0,-1918.0,-2845.0,139.0,0.0,139.0,-2984.0,-2973.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,339.0,0.0,61.0,,276.0,276.0,0.0,2.0,0.0,1348.0,
12/31/2018,2225.0,-141,2370,594.0,33.0,-14.0,575.0,-598.0,-20.0,248.0,-435.0,-391.0,0.0,-1143.0,-3562.0,144.0,0.0,144.0,-3706.0,-3631.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.0,-570.0,0.0,-537.0,,5.0,5.0,0.0,-38.0,0.0,512.0,
03/31/2019,2847.0,-2174,2330,2487.0,31.0,-110.0,2566.0,204.0,-215.0,31.0,388.0,0.0,0.0,-2112.0,-2694.0,175.0,0.0,175.0,-2869.0,-2851.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,43.0,0.0,64.0,,10.0,10.0,0.0,-31.0,0.0,778.0,
06/30/2019,2244.0,-111,2267,413.0,35.0,-33.0,411.0,-325.0,-121.0,456.0,-660.0,0.0,0.0,-2468.0,-2532.0,182.0,0.0,182.0,-2714.0,-2705.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,-1887.0,0.0,-1858.0,,-17.0,0.0,-17.0,-12.0,0.0,-2111.0,
09/30/2019,2566.0,-274,2227,331.0,28.0,-73.0,376.0,282.0,-314.0,47.0,549.0,0.0,0.0,-2552.0,-2485.0,417.0,0.0,417.0,-2902.0,-2895.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,-620.0,0.0,-604.0,,-16.0,0.0,-16.0,0.0,0.0,-606.0,
12/31/2019,1955.0,-120,2556,16.0,27.0,-426.0,415.0,-497.0,-319.0,147.0,-325.0,0.0,0.0,-3011.0,-2997.0,220.0,0.0,220.0,-3217.0,-3209.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-23.0,0.0,5.0,,4.0,4.0,0.0,-32.0,0.0,-1079.0,
