Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
09/30/2015,92.3,-27.3,12.7,106.3,,106.3,,,,-467.9,-8.7,0.0,,,-8.7,-8.7,0,0,0,0,-459.3,0.0,-459.3,0,0.1,353.5,-9.6,379.6,79.6,300.0,0.0,0.0,0.0,0.0,-16.5,-3.7,-25.8,
12/31/2015,131.5,71.9,15.7,43.8,,43.8,,,,0.6,-7.6,0.3,0.3,0.0,-7.9,-7.9,0,0,0,0,0.2,0.1,0.1,0,8.0,-105.9,-9.6,-89.1,7.0,0.0,-96.1,14.3,14.3,0.0,-21.5,-1.7,24.5,
03/31/2016,-0.8,57.7,16.4,-74.9,,-74.9,,,0.0,-2.8,-7.4,0.0,0.0,0.0,-7.4,-7.4,0,0,0,0,0.0,0.0,0.0,0,4.6,-74.8,-11.4,-28.3,-16.6,0.0,-11.7,-30.0,0.0,-30.0,-5.1,4.2,-74.2,
06/30/2016,102.0,95.0,17.1,-10.1,,-10.1,,,,-35.7,-9.1,0.0,,,-9.1,-9.1,0,0,0,0,-31.4,0.0,-31.4,0,4.8,-20.2,-11.5,-12.2,16.6,,-28.8,0.0,0.0,0.0,3.5,-2.5,43.6,
09/30/2016,77.2,1.6,17.2,58.4,,58.4,,,0.0,-10.8,-9.9,0.0,0.0,0.0,-9.9,-9.9,0,0,0,0,0.0,0.0,0.0,0,-0.9,-21.0,-11.6,-13.1,0.0,0.0,-13.1,0.0,0.0,0.0,3.7,0.0,45.4,
12/31/2016,199.1,74.8,16.2,108.1,,108.1,,,0.0,-14.7,-16.0,0.1,0.1,0.0,-16.1,-16.1,0,0,0,0,-4.3,-4.3,0.0,0,5.6,-80.0,-11.5,-10.8,,,,-49.3,5.8,-55.1,-8.4,-6.5,97.9,
03/31/2017,-40.9,68.4,16.5,-125.8,,-125.8,,,0.0,-27.8,-7.8,0.0,0.0,0.0,-7.8,-7.8,0,0,0,0,-20.8,0.0,-20.8,0,0.8,-56.0,-15.2,-12.9,-1.1,0.0,-11.8,-30.0,0.0,-30.0,2.1,1.9,-122.8,
06/30/2017,104.9,105.5,16.2,-16.8,,-16.8,,,0.0,1.9,-13.6,0.0,0.0,0.0,-13.6,-13.6,0,0,0,0,0.0,0.0,0.0,0,15.5,-54.5,-15.2,-11.9,-0.2,0.0,-11.7,-30.0,0.0,-30.0,2.6,3.6,55.9,
09/30/2017,106.0,89.8,17.2,-1.0,,-1.0,,,0.0,-10.2,-12.3,0.0,0.0,0.0,-12.3,-12.3,0,0,0,0,0.0,0.0,0.0,0,2.1,-8.2,-15.2,8.7,0.0,865.0,-856.3,0.0,0.0,0.0,-1.7,1.8,89.4,
12/31/2017,177.2,9.6,17.0,150.6,,150.6,,,0.0,-14.1,-12.5,3.1,3.1,0.0,-15.6,-15.6,0,0,0,0,1.2,1.2,0.0,0,-2.8,-32.2,-15.3,-173.8,0.0,0.0,-173.8,7.2,7.2,0.0,149.7,0.4,131.3,
03/31/2018,-10.1,72.2,22.5,-104.8,,-104.8,,,0.0,-284.9,-8.7,0.0,0.0,0.0,-8.7,-8.7,0,0,0,0,-276.3,0.0,-276.3,0,0.1,-20.9,-19.7,31.2,40.0,0.0,-8.8,-30.0,0.0,-30.0,-2.4,1.5,-314.4,
06/30/2018,128.8,113.9,23.0,-8.1,,-8.1,,,0.0,-16.4,-12.2,0.0,0.0,0.0,-12.2,-12.2,0,0,0,0,-4.2,0.0,-4.2,0,0.0,-69.5,-20.0,-49.6,-0.5,0.0,-49.1,0.0,0.0,0.0,0.1,-5.1,37.8,
09/30/2018,141.7,116.0,20.3,5.4,,5.4,,,0.0,-107.4,-10.9,0.0,0.0,0.0,-10.9,-10.9,0,0,0,0,-95.3,0.0,-95.3,0,-1.2,-26.5,-19.9,-9.0,74.8,0.0,-83.8,0.0,0.0,0.0,2.4,-0.9,6.9,
12/31/2018,197.4,132.8,20.4,44.2,,44.2,,,0.0,-35.1,-17.1,0.2,,,-17.3,-17.3,0,0,0,0,-0.3,0.0,-0.3,0,-17.7,-66.5,-19.8,-8.7,-114.9,115.0,-8.8,-34.1,3.2,-37.3,-3.9,-1.7,94.1,
03/31/2019,-12.6,80.2,20.7,-113.5,,-113.5,,,0.0,-17.7,-12.3,0.0,0.0,0.0,-12.3,-12.3,0,0,0,0,-4.6,0.0,-4.6,0,-0.8,-99.2,-25.2,-9.0,-0.2,,-8.8,-63.8,0.0,-63.8,-1.2,-0.5,-130.0,
06/30/2019,119.6,109.3,20.7,-10.4,,-10.4,,,0.0,-18.5,-17.0,0.0,0.0,0.0,-17.0,-17.0,0,0,0,0,0.0,0.0,0.0,0,-1.5,-101.4,-25.3,-8.9,,,,-69.8,0.0,-69.8,2.6,0.9,0.6,
09/30/2019,172.4,131.6,21.2,19.6,,19.6,,,0.0,-19.8,-20.1,0.0,0.0,0.0,-20.1,-20.1,0,0,0,0,0.0,0.0,0.0,0,0.3,-73.8,-25.0,-0.1,-0.1,400.0,-400.0,-46.1,0.0,-46.1,-2.6,-3.7,75.1,
12/31/2019,208.8,80.7,20.4,107.7,,107.7,,,0.0,-21.6,-16.2,0.0,0.0,0.0,-16.2,-16.2,0,0,0,0,0.3,3.3,-3.0,0,-5.7,-67.8,-25.1,-399.9,,,,-39.8,6.5,-46.3,397.0,3.0,122.4,
03/31/2020,30.8,0.4,19.8,10.6,,10.6,,,0.0,-18.8,-11.8,0.0,0.0,0.0,-11.8,-11.8,0,0,0,0,0.0,0.0,0.0,0,-7.0,-116.8,-29.0,3.2,,,,-94.1,0.0,-94.1,3.1,-5.2,-110.0,
06/30/2020,97.2,73.7,19.9,3.6,,3.6,,,0.0,-11.8,-12.6,0.0,0.0,0.0,-12.6,-12.6,0,0,0,0,0.0,0.0,0.0,0,0.8,-32.4,-29.7,-2.6,,,,0.0,0.0,0.0,-0.1,2.6,55.6,
