Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2016,335,239,171,-36,16,-68,16,-39,,-39,,-126,-108,1,1.0,0.0,-109,-85,-24,0,0,0,0,0,0,0,-18,-103,-69,-32,0,0.0,0.0,-2,2,108,203,139,
09/30/2016,295,-361,169,537,23,-47,561,-50,,-50,,-110,-79,0,0.0,0.0,-79,-58,-21,0,0,0,0,0,0,0,-31,-136,-69,-30,0,0.0,0.0,-37,1,50,234,116,
12/31/2016,341,-397,164,81,41,62,-22,493,,493,,-77,-116,0,,,-116,-91,-25,0,0,0,0,0,0,0,39,311,-70,450,0,0.0,0.0,-69,-22,553,201,137,
03/31/2017,50,47,86,13,25,-67,55,-96,,-96,0.0,-37,-18,0,0.0,0.0,-18,-9,-9,0,0,0,0,0,0,0,-19,-716,-49,-1,-70,0.0,-70.0,-596,5,-698,6,113,
06/30/2017,294,150,83,-8,34,-56,14,69,,69,0.0,-28,-29,0,0.0,0.0,-29,-9,-20,0,0,0,0,0,0,0,1,-345,-49,-12,-282,0.0,-282.0,-2,2,-77,231,45,
09/30/2017,251,158,83,-1,32,-37,4,11,,11,0.0,-30,-34,0,,0.0,-34,-18,-16,0,0,0,0,0,0,0,4,-335,-49,-12,-273,0.0,-273.0,-1,1,-113,140,67,
12/31/2017,254,729,84,-592,30,-569,-53,33,-153.0,186,,-52,-52,0,,0.0,-52,-22,-30,0,0,0,0,0,0,0,0,-328,-48,-11,-266,0.0,-266.0,-3,0,-126,149,89,
03/31/2018,243,161,82,-25,28,-37,-16,25,,25,0.0,-26,-25,0,0.0,0.0,-25,-10,-15,0,0,0,0,0,0,0,-1,-211,-47,-14,-110,0.0,-110.0,-40,7,13,9,72,
06/30/2018,289,217,79,33,40,-2,-5,-40,,-40,0.0,-49,-41,0,0.0,0.0,-41,-18,-23,0,0,0,0,0,0,0,-8,-405,-45,992,-1329,0.0,-1329.0,-23,-13,-178,140,77,
09/30/2018,382,162,81,73,35,68,-30,66,,66,0.0,-5,-47,0,0.0,0.0,-47,-23,-24,0,0,0,0,0,0,0,42,-174,-45,-3,-122,0.0,-122.0,-4,-8,195,81,59,
12/31/2018,341,224,83,-8,24,-43,11,42,,42,0.0,-51,-46,0,0.0,0.0,-46,-21,-25,0,0,0,0,0,0,0,-5,-510,-44,-304,-160,0.0,-160.0,-2,4,-216,58,122,
03/31/2019,364,158,84,1,34,-26,-7,121,,121,0.0,-44,-42,0,0.0,0.0,-42,-23,-19,0,0,0,0,0,0,0,-2,-343,-44,39,-296,0.0,-296.0,-42,0,-23,13,71,
06/30/2019,286,260,86,57,47,27,-17,-117,,-117,0.0,-51,-48,0,0.0,0.0,-48,-23,-25,0,0,0,0,0,0,0,-3,20,-43,439,-357,0.0,-357.0,-19,2,257,144,119,
09/30/2019,532,288,86,-22,42,21,-85,180,,180,0.0,48,65,120,120.0,0.0,-55,-20,-35,0,0,0,0,0,0,0,-17,-485,-43,-10,-433,0.0,-433.0,1,-4,91,81,58,
12/31/2019,202,175,90,-56,31,-42,-45,-7,,-7,0.0,-76,-60,0,0.0,0.0,-60,-15,-45,0,0,0,0,0,0,0,-16,-305,-42,185,-452,0.0,-452.0,4,0,-179,125,112,
03/31/2020,129,18,91,51,-12,-37,100,-31,,-31,0.0,-47,-29,0,0.0,0.0,-29,-12,-17,0,0,0,0,0,0,0,-18,1100,-42,1485,-296,0.0,-296.0,-47,-7,1175,50,94,
06/30/2020,817,-430,88,-36,24,-81,21,1195,,1195,0.0,-29,-34,0,0.0,0.0,-34,-18,-16,0,0,0,0,0,0,0,5,982,0,992,0,0.0,0.0,-10,0,1770,3,106,
