Date,Cash from Operating Activities,Net Income,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2015,404,237,123,-181,0.0,4,-185,226,0.0,0.0,0.0,0.0,0.0,94,-86,218,,2049,0,0.0,0,-56,23.0,0.0,0.0,23.0,-79.0,0.0,0.0,-79.0,0,0,0.0,0.0,-1106,0,-1106,0,3211,-2762,-58,-3987,0,0,686,-4673,-175,0,-175,0.0,1458,0.0,-309,0,498,
12/31/2015,451,283,135,-231,21.0,2,-254,264,0.0,0.0,0.0,0.0,0.0,-21,51,234,,3337,0,0.0,0,-32,73.0,0.0,0.0,73.0,-105.0,0.0,0.0,-105.0,183,183,0.0,0.0,-957,0,-957,0,4143,-3499,-58,-3568,0,0,901,-4469,-170,0,-170,0.0,297,0.0,289,7,492,
03/31/2016,342,181,111,-120,,12,-132,170,0.0,0.0,0.0,0.0,0.0,71,-145,244,0.0,2185,0,0.0,0,-1,41.0,0.0,0.0,41.0,-42.0,0.0,0.0,-42.0,0,0,0.0,0.0,-1537,0,-1537,0,3723,-2953,-54,-2657,0,0,1545,-4202,-200,0,-200,0.0,-42,0.0,-426,18,515,
06/30/2016,429,125,110,-2,,6,-8,196,0.0,0.0,0.0,0.0,0.0,-21,20,197,0.0,3202,0,0.0,0,0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0,0,0.0,0.0,-646,0,-646,0,3848,-3422,-51,-1383,0,0,2246,-3629,-175,0,-175,0.0,-1813,0.0,209,67,573,
09/30/2016,343,230,106,-139,0.0,4,-143,146,0.0,0.0,0.0,0.0,0.0,48,-34,132,0.0,3111,0,0.0,0,2,3.0,0.0,0.0,3.0,-1.0,0.0,0.0,-1.0,0,0,0.0,0.0,-662,0,-662,0,3771,-3008,-49,-1612,0,0,2236,-3848,-200,0,-200,0.0,-1147,0.0,446,77,595,
12/31/2016,243,145,102,4,0.0,4,0,-8,0.0,0.0,0.0,0.0,0.0,-124,67,49,,2913,0,0.0,0,6,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-838,0,-838,0,3745,-3726,-47,-2255,0,0,1895,-4150,-180,0,-180,0.0,-1244,0.0,-570,83,618,
03/31/2017,357,88,107,33,,14,19,129,0.0,0.0,0.0,0.0,0.0,60,-65,134,0.0,3143,0,0.0,0,8,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-798,0,-798,0,3933,-3260,-46,-1044,0,0,2726,-3770,-110,0,-110,0.0,-2060,0.0,240,9,670,
06/30/2017,273,112,105,18,,5,13,38,0.0,0.0,0.0,0.0,0.0,-32,82,-12,0.0,-1268,0,0.0,0,7,7.0,0.0,0.0,7.0,0.0,,,,0,0,0.0,0.0,-4913,0,-4913,0,3638,659,-45,-1521,0,0,2717,-4238,-165,0,-165,0.0,2390,0.0,-336,94,709,
09/30/2017,284,176,105,-35,,7,-42,38,0.0,0.0,0.0,0.0,0.0,62,-50,26,0.0,2943,0,0.0,0,3,4.0,0.0,0.0,4.0,-1.0,,,,0,0,0.0,0.0,-709,0,-709,0,3649,-3330,-42,-1354,0,0,2934,-4288,-165,0,-165,0.0,-1769,0.0,-103,4,742,
12/31/2017,244,-84,109,-38,,9,-47,257,0.0,0.0,0.0,0.0,0.0,-119,44,332,0.0,2300,0,0.0,0,5,,,,,,,,,0,0,0.0,0.0,-1135,0,-1135,0,3430,-2411,-43,-1411,0,0,1676,-3087,0,0,0,0.0,-957,0.0,133,49,751,
03/31/2018,284,126,87,-41,,13,-54,112,0.0,0.0,0.0,0.0,0.0,18,-33,127,0.0,2721,0,0.0,0,4,5.0,0.0,0.0,5.0,-1.0,0.0,0.0,-1.0,0,0,0.0,0.0,-821,0,-821,0,3538,-1854,-42,95,0,0,3930,-3835,0,0,0,0.0,-1907,0.0,1151,0,798,
06/30/2018,198,83,112,21,,5,16,-18,0.0,0.0,0.0,0.0,0.0,-139,119,2,0.0,3035,0,0.0,0,0,0.0,,,,,,,,0,0,0.0,0.0,-734,0,-734,0,3773,-4022,-43,-2391,0,0,2008,-4399,0,0,0,0.0,-1588,0.0,-789,22,820,
09/30/2018,173,114,85,-14,,4,-18,-12,0.0,0.0,0.0,0.0,0.0,102,-82,-32,0.0,2443,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1070,0,-1070,0,3513,-2376,-41,-2073,0,0,1701,-3774,-95,0,-95,0.0,-167,0.0,240,30,897,
12/31/2018,485,72,86,124,,3,121,203,,,,,,-106,54,255,0.0,2161,0,,0,115,,,,,,,,,10321,10321,,,2625,0,2625,0,-10900,-2632,-40,-3134,0,0,1862,-4996,-125,0,-125,,667,,14,-1,945,
03/31/2019,188,128,76,49,,12,37,-65,0.0,0.0,0.0,0.0,0.0,75,-57,-83,0.0,2408,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381,2381,0.0,0.0,0,0,0,0,27,-3638,-39,-2028,0,0,2510,-4538,-107,0,-107,0.0,-1464,0.0,-1042,4,903,
06/30/2019,334,153,68,84,,5,79,29,0.0,0.0,0.0,0.0,0.0,-53,28,54,0.0,2473,0,0.0,0,381,381.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,2060,2060,0.0,0.0,0,0,0,0,32,-2601,-37,-1676,0,0,2353,-4029,-126,0,-126,0.0,-762,0.0,206,17,942,
09/30/2019,309,144,64,46,,3,43,55,0.0,0.0,0.0,0.0,0.0,101,-88,42,0.0,1525,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550,1550,0.0,0.0,0,0,0,0,-25,-2000,-36,-1869,0,0,1286,-3155,-130,0,-130,0.0,35,0.0,-166,38,866,
12/31/2019,188,171,50,-54,,5,-59,21,0.0,0.0,0.0,0.0,0.0,-45,21,45,0.0,1079,0,0.0,0,7,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1070,1070,0.0,0.0,0,0,0,0,2,-1746,-35,-2729,0,0,1770,-4499,-77,0,-77,0.0,1095,0.0,-479,30,768,
03/31/2020,453,-106,95,455,,9,446,9,0.0,0.0,0.0,0.0,0.0,79,-70,0,0.0,985,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099,1099,0.0,0.0,0,0,0,0,-114,-1451,-31,-1125,0,0,2658,-3783,-335,0,-335,0.0,40,0.0,-13,2,712,
06/30/2020,142,125,44,38,,2,36,-65,0.0,0.0,0.0,0.0,0.0,-124,-6,65,0.0,2407,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409,2409,0.0,0.0,0,0,0,0,-2,-2328,-31,-1346,0,0,1301,-2647,0,0,0,0.0,-951,0.0,221,1,502,
