Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
06/30/2017,245.7,240.1,37.1,13.3,13.3,0.0,-44.8,-30.7,16.3,18.7,-49.1,0.0,-31.2,-28.8,0.0,0.0,0.0,-28.8,-28.8,0,0,0,0,0.0,0,0.0,0,-2.4,-80.7,-24.4,-63.3,-63.3,0.0,0.0,0.0,0.0,0.0,7.0,17.0,150.8,
09/29/2017,319.0,267.8,39.9,-3.4,11.9,-15.3,14.7,-10.1,16.1,-22.4,31.1,0.0,-829.7,-32.1,0.0,0.0,0.0,-32.1,-32.1,0,0,0,0,-802.1,0,-802.1,0,4.5,440.9,-24.2,461.5,335.6,125.9,0.0,0.0,0.0,0.0,3.6,12.3,-57.5,
12/31/2017,463.4,336.9,44.6,-219.9,7.0,-226.9,145.5,-24.6,9.3,68.9,91.9,1.4,-781.4,-23.4,0.0,0.0,0.0,-23.4,-23.4,0,0,0,0,-754.5,0,-754.5,0,21.5,358.9,-24.4,379.4,379.4,0.0,0.0,0.0,0.0,0.0,2.5,10.3,51.2,
03/30/2018,171.0,261.2,60.0,11.9,11.9,0.0,-162.1,-20.1,-31.9,-22.2,-87.9,,-39.0,-31.4,0.0,0.0,0.0,-31.4,-31.4,0,0,0,0,-7.7,0,-7.7,0,0.1,-94.2,-24.3,-74.3,-74.3,0.0,0.0,0.0,0.0,0.0,4.4,15.8,53.6,
06/29/2018,341.9,295.0,50.1,-79.5,12.5,-92.0,-13.5,-15.5,-30.9,52.7,-19.8,-0.1,-25.2,-16.3,0.0,0.0,0.0,-16.3,-16.3,0,0,0,0,-1.6,0,-1.6,0,3.7,1073.0,-24.4,-251.6,-251.6,0.0,0.0,1338.2,1338.2,0.0,10.9,-37.2,1352.5,
09/28/2018,386.7,245.3,62.4,-18.3,13.0,-31.3,66.4,-36.2,-10.6,-2.9,116.1,0.0,-2850.6,-29.1,0.0,0.0,0.0,-29.1,-29.1,0,0,0,0,-2815.9,0,-2815.9,0,0.2,1255.7,-24.5,1286.6,261.6,1750.0,-725.0,-0.8,,,-5.6,-14.9,-1223.1,
12/31/2018,444.8,2112.3,76.0,-1976.4,10.3,-1986.7,89.8,-20.8,5.5,46.0,59.1,0.0,948.2,-18.6,0.0,,,-18.6,-18.6,0,0,0,0,10.1,0,10.1,0,-46.2,-1355.4,-23.4,-1326.8,-201.8,0.0,-1125.0,0.0,0.0,0.0,-5.2,-4.3,33.3,
03/29/2019,156.2,164.4,81.9,12.5,12.9,-0.4,-97.6,49.9,-33.3,-40.6,-73.6,0.0,-24.0,-24.0,0.0,0.0,0.0,-24.0,-24.0,0,0,0,0,0.0,0,0.0,0,0.0,2411.2,-23.4,2441.4,443.8,2417.8,-420.2,0.0,0.0,0.0,-6.8,7.1,2550.5,
06/28/2019,258.8,174.6,110.4,16.6,15.9,0.7,-41.4,-152.2,79.1,28.9,2.8,,-3261.6,-24.5,0.0,0.0,0.0,-24.5,-24.5,0,0,0,0,-3237.1,0,-3237.1,0,0.0,365.2,-23.4,408.8,,,,0.0,0.0,0.0,-20.2,0.8,-2636.8,
09/27/2019,381.0,207.1,116.8,-24.3,16.7,-41.0,79.4,-31.2,23.6,3.8,83.2,,-181.7,-31.1,0.0,0.0,0.0,-31.1,-31.1,0,0,0,0,-150.6,0,-150.6,0,0.0,-211.4,-23.5,-196.8,,,,0.0,0.0,0.0,8.9,-19.5,-31.6,
12/31/2019,475.4,192.8,117.1,16.2,15.9,0.3,158.4,-33.4,49.4,61.6,80.8,0.0,-587.3,-32.9,0.0,0.0,0.0,-32.9,-32.9,0,0,0,0,-556.2,0,-556.2,0,1.8,237.9,-23.5,299.3,-200.7,500.0,0.0,0.0,0.0,0.0,-37.9,18.7,144.7,
03/27/2020,191.0,41.9,117.6,101.8,16.1,85.7,-69.9,22.8,-16.6,-6.7,-69.4,0.0,-44.2,-33.8,0.0,0.0,0.0,-33.8,-33.8,0,0,0,0,-10.6,0,-10.6,0,0.2,-283.2,-23.5,-259.0,-382.8,373.8,-250.0,0.0,0.0,0.0,-0.7,-28.3,-164.7,
06/26/2020,479.2,130.0,119.1,17.3,17.7,-0.4,212.8,192.0,-12.3,-16.7,49.8,,-21.0,-20.4,5.3,5.3,0.0,-25.7,-25.7,0,0,0,0,-0.8,0,-0.8,0,0.2,-445.2,-23.6,-391.2,-759.1,367.9,0.0,0.0,0.0,0.0,-30.4,9.5,22.5,
