Ticker,ISIN Code,Company Name,min_date,max_date,figi,cik,has_file,has_data
BAY,US0725101002,Bay Networks Inc.,1996-03-31,1998-06-30,,,0.0,0.0
BBI (Bar),US0680551027,Barnett Banks Inc.,1984-12-31,1997-12-31,,,0.0,0.0
BEV,US0878513094,Beverly Enterprises Inc.,1986-06-30,1997-09-30,,,0.0,0.0
BFI,US1158851055,Browning Ferris Industries Inc,1975-09-30,1999-06-30,,,0.0,0.0
BFO,US08658U1016,BestFoods,1970-03-31,2000-09-30,,,0.0,0.0
BGEN,US0905971059,Biogen NV,2000-03-31,2003-09-30,BBG002GPYW31,,1.0,0.0
BKB,US06605R1068,Bankboston Corp.,1976-09-30,1999-09-30,,,0.0,0.0
BLY,US05873C1062,Bally Entertainment Corp.,1985-12-31,1996-09-30,,,0.0,0.0
BMGCA,US0715931079,Battle Mountain Gold Co,1996-09-30,1999-06-30,BBG002GLPFS0,,1.0,0.0
BMMI,US0556071050,BMC Industrial,1998-12-31,2013-06-30,,,0.0,0.0
BNL,US0817211024,Beneficial Corp.,1970-03-31,1998-06-30,,,0.0,0.0
BOAT,US0966501068,Boatmens Bancshares Inc.,1991-03-31,1996-12-31,,,0.0,0.0
BRNO,US1168812022,Brunos Inc,1991-06-30,1995-06-30,,,0.0,0.0
BT,US0663651075,Bankers Trust Corp.,1976-09-30,1999-03-31,,,0.0,0.0
BV (Blo),US0936761040,Blockbuster Entertainment,1991-03-31,1994-06-30,,,0.0,0.0
BWY (Broa),US1115721037,Broadway Stores Inc,1973-09-30,1990-12-31,,,0.0,0.0
C (Chrysler),US1711961086,Chrysler Corp.,1970-03-31,1998-09-30,,,0.0,0.0
CBB (Cal),US1298941014,Caliber System Inc,1976-09-30,1997-12-31,,,0.0,0.0
CBL (Cor),US2202911085,Corroon & Black Corp,1988-12-31,1990-09-30,,,0.0,0.0
CBS (Inc),US1248451080,CBS Inc.,1970-03-31,1995-09-30,,,0.0,0.0
CBS (Old),US12490K1079,CBS Corp. (Old),1970-03-31,2000-03-31,,,0.0,0.0
CCB (Cap),US1398591024,Capital Cities/ABC Inc.,1970-03-31,1995-12-31,,,0.0,0.0
CCI (Citi),US17399Z9316,Citicorp Inc (Old),1976-09-30,1998-09-30,,,0.0,0.0
CFL,US2186951040,Corestates Financial Corp.,1990-12-31,1998-03-31,,,0.0,0.0
CG,US1976480095,Columbia Energy Group,1970-03-31,2000-09-30,,,0.0,0.0
CGP,US1904411055,Coastal Corp.,1985-06-30,2000-12-31,BBG002GLRK70,734627.0,1.0,0.0
CHA,US1585251051,Champion International Corp,1970-06-30,2000-03-31,,,0.0,0.0
CHIR,US1700401094,Chiron Corp.,2000-12-31,2006-03-31,BBG002GPZ085,,1.0,0.0
CHRS (Char),US1611331034,Charming Shoppes Inc.,1987-03-31,1998-03-31,,,0.0,0.0
CI,US1255231003,Cigna Corp.,1982-06-30,2020-06-30,,,0.0,0.0
CIC,US2113271017,Continental Corp,1976-09-30,1995-03-31,,,0.0,0.0
CIN,US1724741087,Cinergy Corp.,1970-03-31,2006-03-31,BBG002GLR7W1,,1.0,0.0
CIT,US1255771065,CIT Group Inc.,2000-09-30,2009-06-30,,,0.0,0.0
CKL,US1813961026,Clark Equipment Co,1970-03-31,1995-03-31,,,0.0,0.0
CMB,US1616101002,Chase Manhattan Corp. (Old),1976-09-30,1996-03-31,,,0.0,0.0
CMCSK (Old),US2003001011,Comcast Corp (Old),1987-12-31,2002-09-30,,1166691.0,0.0,0.0
CNG,US2096150048,Consolidated Natural Gas Co,1970-03-31,1999-12-31,,,0.0,0.0
COC.B,US2082513068,Conoco Inc.,1999-09-30,2002-06-30,BBG002GX5679,1066806.0,1.0,0.0
CPN,US1313471062,Calpine Corp.,2000-12-31,2005-09-30,,,0.0,0.0
CPQ,US2044931002,Compaq Computer Corp,1988-03-31,2002-03-31,BBG002GLRVT2,,1.0,0.0
CRR (Con),US2083681005,Conrail Inc.,1987-09-30,1997-03-31,,,0.0,0.0
CSE,US14743R1032,Case Corp.,1996-03-31,1999-09-30,,,0.0,0.0
CSR,US1523571099,Central & South West Corp,1970-03-31,2000-03-31,,,0.0,0.0
CTCO (Cro),US2274301058,Cross & Trecker Corp,1982-09-30,1991-09-30,,,0.0,0.0
CUE (Qua),US7476331050,Quantum Chemical Corp,1970-03-31,1993-09-30,,,0.0,0.0
CVN (C&S),US12467H1032,C&S/Sovran Corp,1990-09-30,1991-12-31,,,0.0,0.0
CYM,US2328091036,Cyprus Amax Minerals Co,1989-09-30,1999-09-30,,,0.0,0.0
CYR,US2252241045,Cray Research Inc,1985-06-30,1995-12-31,,,0.0,0.0
DEC,US2538491034,Digital Equipment Corp,1975-12-31,1998-03-31,,,0.0,0.0
DGN,US2376881064,Data General Corp.,1981-06-30,1999-09-30,,,0.0,0.0
DI,US2615971080,Dresser Industries Inc.,1970-03-31,1998-09-30,,,0.0,0.0
DIGI,US2333111092,DSC Communications Corp.,1984-09-30,1998-06-30,,,0.0,0.0
DNA,US3687103073,Genentech Inc,1986-09-30,1990-03-31,,,0.0,0.0
DPT,US1494791072,Datapoint Corp,1981-06-30,1991-03-31,,,0.0,0.0
DWD,US24240V1017,Dean Witter Discover & Co.,1993-09-30,1997-03-31,,,0.0,0.0
E,US8935321013,Transco Energy Co,1991-06-30,1994-12-31,,,0.0,0.0
ECH,US2787491065,Echlin Inc.,1973-12-31,1998-06-30,,,0.0,0.0
ECO,CA2787511021,Echo Bay Mines Ltd,1990-03-31,1997-12-31,,,0.0,0.0
EFU,US27637F1003,Eastern Enterprises,1970-03-31,2000-09-30,,,0.0,0.0
ENRNQ,US2935611069,Enron Corp.,1970-03-31,2001-09-30,BBG002GLTQY5,1024401.0,1.0,0.0
ESY,US2691573016,E-Systems Inc,1985-12-31,1995-03-31,,,0.0,0.0
ETS,US2936374014,Enterasys Networks Inc.,1995-06-30,2001-06-30,BBG002GLQC06,,1.0,0.0
FBF,US3390301089,FleetBoston Financial Group Inc,1988-12-31,2004-03-31,BBG002GLVJF9,50341.0,1.0,0.0
FBO,US3136931033,Federal Paper Board Inc,1970-03-31,1995-12-31,,,0.0,0.0
FCN (Fir),US31945A1007,First Chicago NBD Corp,1987-06-30,1998-09-30,,,0.0,0.0
FFB,US3201951007,First Fidelity Bancorp,1988-06-30,1995-12-31,,,0.0,0.0
FG (USF),US9032901046,USF&G Corp,1976-09-30,1998-03-31,,,0.0,0.0
FJ,US3474711047,Fort James Corp.,1986-06-30,2000-09-30,,,0.0,0.0
FMY,US5929071091,Fred Meyer Inc.,1998-09-30,1999-03-31,,,0.0,0.0
FNB (Fir),US3194551012,First Chicago Corp. (Old),1976-09-30,1995-09-30,,,0.0,0.0
FPC,US3411090075,Florida Progress Corp,1999-06-30,2000-09-30,,,0.0,0.0
FRO (Fro),US35906P1057,Frontier Corp.,1970-03-31,1999-06-30,,,0.0,0.0
FSH,US3380322046,Fisher Scientific Int'l,2004-09-30,2006-09-30,BBG002GLVHQ1,,1.0,0.0
FSLB,US35687M2061,Freescale Semiconductor Inc,2004-12-31,2006-09-30,BBG002GYQ317,,1.0,0.0
FTL.A,KYG3682L1059,Fruit of The Loom Inc,1995-06-30,1999-09-30,,,0.0,0.0
GDT,US4016981056,Guidant Corp,1996-12-31,2006-03-31,BBG002GVQWH2,,1.0,0.0
GDW,US3813171069,Golden West Financial,1988-06-30,2006-09-30,BBG002GLWJ40,,1.0,0.0
GEB,US3737121083,Gerber Products Co,1970-03-31,1994-06-30,,,0.0,0.0
GFS.A,US3744781051,Giant Food Inc.,1987-09-30,1998-06-30,,,0.0,0.0
GHC (Galen),US3632331076,Galen Health Care Inc,1993-03-31,1993-06-30,,,0.0,0.0
GIDL,US3750481059,Giddings & Lewis Inc.,1992-09-30,1997-06-30,,,0.0,0.0
GLBC (Glob),BMG3921A1009,Global Crossing Ltd,1999-09-30,2001-09-30,,,0.0,0.0
GLD,US8021761072,Santa Fe Pacific Gold Corp.,1994-12-31,1997-03-31,,,0.0,0.0
GLK (Chem),US3905681033,Great Lakes Chemical Corp,1991-12-31,2005-06-30,,,0.0,0.0
GNT,US2084641073,Green Tree Financial Corp,1996-03-31,1998-06-30,,,0.0,0.0
GOSHA,US6882222077,OshKosh B'gosh Inc.,1986-03-31,1995-03-31,BBG002GQG486,,1.0,0.0
GP,US3732981085,Georgia-Pacific Group,1970-03-31,2005-09-30,BBG002GLWB47,,1.0,0.0
GPU,US36225X1000,GPU Inc.,1970-03-31,2001-09-30,,,0.0,0.0
GQ,US4001811037,Grumman Corp,1970-03-31,1994-03-31,,,0.0,0.0
GRL,37011810,NextLevel Systems Inc,1970-03-31,1990-06-30,,,0.0,0.0
GRN,US3705631089,General Re Corp.,1988-06-30,1998-09-30,,,0.0,0.0
GSX,US3708381047,General Signal Corp,1970-03-31,1998-09-30,,,0.0,0.0
GTE (GTE),US3623201031,GTE Corp.,1970-03-31,2000-06-30,,,0.0,0.0
GWF,US3914421009,Great Western Financial Corp,1970-03-31,1997-06-30,,,0.0,0.0
HBJ,US4116311048,Harcourt Brace Jovanovich,1970-03-31,1991-09-30,,,0.0,0.0
HBOC,US4041001094,HBO & Co.,1997-12-31,1998-12-31,,,0.0,0.0
HFS,US4041811096,HFS Inc.,1996-09-30,1997-09-30,,,0.0,0.0
HM,US4376141002,Homestake Mining Co,1970-03-31,2001-09-30,BBG002GLXDP9,,1.0,0.0
HON (Old),US4385061076,Honeywell Inc. (Old),1970-03-31,1999-09-30,,,0.0,0.0
HPH,US4133451090,Harnischfeger Industries,1989-09-30,1999-03-31,,,0.0,0.0
HXN,US60899Z0013,Hexion Specialty Chemicals,1970-03-31,1994-09-30,,,0.0,0.0
I (Fir),US3205481001,First Interstate Bancorporation,1976-09-30,1996-03-31,,,0.0,0.0
IGT (Old),US4599021023,International Game Technology plc (Old),2001-09-30,2014-03-31,,,0.0,0.0
IIN (ITT),US4506791056,ITT Corp. (Original),1970-03-31,1995-09-30,,,0.0,0.0
IK,US4587021076,Interlake Corp,1972-03-31,1993-06-30,,,0.0,0.0
IMNX,US4525281022,Immunex Corp.,2001-09-30,2002-06-30,BBG002GQK089,,1.0,0.0
ITT (Old),US4509121004,ITT Corporation (Old),1995-12-31,1997-12-31,,,0.0,0.0
JHF,US41014S1069,John Hancock Financial Services Inc,2001-06-30,2004-03-31,BBG002H2KR19,,1.0,0.0
JOS,US4810883003,Jostens Inc.,1989-09-30,2000-03-31,,,0.0,0.0
JP,US4750701082,Jefferson-Pilot Corp.,1976-09-30,2006-03-31,,,0.0,0.0
JPM (Old),US6168801008,J. P. Morgan & Co. Inc (Old),1976-09-30,2000-12-31,,,0.0,0.0
JWP,US4702321096,JWP Inc.,1990-09-30,1993-09-30,,,0.0,0.0
KM,US4825841095,Kmart Corp,1970-03-31,2001-12-31,BBG002GLYLC4,,1.0,0.0
KRB,US55262L1008,MBNA Corp.,1992-06-30,2005-12-31,BBG002GPNFC0,870517.0,1.0,0.0
KRI,US4990401030,Knight-Ridder Inc.,1975-12-31,2006-03-31,BBG002GLYWX7,,1.0,0.0
KWP,US4956671071,King World Productions Inc.,1989-03-31,1999-09-30,,,0.0,0.0
LCE,US5422904087,Lone Star Industries Inc,1970-03-31,1990-09-30,,,0.0,0.0
LI,US50730K5039,Laidlaw Int'l Inc,1995-06-30,1999-09-30,,,0.0,0.0
LIFE (Tech),US53217V1098,Life Technologies Corp,2008-12-31,2013-12-31,BBG000CKJ0P3,1073431.0,1.0,0.0
LLX,US5462681033,Louisiana Land & Exploration Co,1970-03-31,1997-09-30,,,0.0,0.0
LOR,US5438591027,Loral Corp.,1985-09-30,1996-03-31,,,0.0,0.0
LOTS,US5457001064,Lotus Development Corp,1986-09-30,1995-06-30,,,0.0,0.0
LU,US5494631071,Lucent Technology,1996-12-31,2006-09-30,BBG002GW2B00,1006240.0,1.0,0.0
MAI,US5526181004,MA.com Inc,1980-12-31,1995-06-30,,,0.0,0.0
MAY,US5777781031,May Dept Stores,1970-03-31,2005-06-30,BBG002GPNCT9,,1.0,0.0
MCA,US5526531075,MCA Inc,1970-03-31,1990-09-30,,,0.0,0.0
MCAWA,US5794681099,McCaw Cellular Comm.,1993-09-30,1994-06-30,,,0.0,0.0
MCIC,US5526731055,MCI Communications Corp,1982-06-30,1998-06-30,,,0.0,0.0
MD (McD),US5801691008,McDonnell Douglas Corp.,1970-03-31,1997-06-30,,,0.0,0.0
MEA,US5828341074,Mead Corp.,1970-03-31,2001-12-31,BBG002GPNK66,,1.0,0.0
MERQ,US5894051094,Mercury Interactive Corp,2000-06-30,2005-12-31,BBG002GT9NM0,,1.0,0.0
MHC,US5648091016,Manufacturers Hanover Corp,1976-09-30,1991-12-31,,,0.0,0.0
MHS (Mar.),57163010,Marriott Corp.,1970-06-30,1993-09-30,,,0.0,0.0
MII,US6193351029,Morton International Inc.,1989-06-30,1999-03-31,,,0.0,0.0
MIR (M. R.),US60462E1047,Mirage Resorts Inc,1997-09-30,2000-03-31,,,0.0,0.0
MKG,US5612321092,Mallinckrodt Inc. (Old),1975-03-31,2000-09-30,,,0.0,0.0
ML (Mar),US5729001082,Martin Marietta Corp,1970-03-31,1994-12-31,,,0.0,0.0
MMI (Mot),US6200971058,Motorola Mobility,2011-03-31,2012-03-31,,,0.0,0.0
MNR (Man),US5640541042,Manor Care Inc. (Old),1986-06-30,1998-06-30,,,0.0,0.0
MOB,US6070591028,Mobil Corp.,1970-03-31,1999-09-30,,,0.0,0.0
MRN,US6184471067,Morrison Knudsen Corp.,1990-06-30,1995-09-30,,,0.0,0.0
MST,US5875331002,Mercantile Stores Inc,1970-03-31,1998-06-30,,,0.0,0.0
MTL,US5873421060,Mercantile Bancorporation Inc,1998-03-31,1999-06-30,,,0.0,0.0
MWI,US5832041025,Moore Wallace Inc.,1987-09-30,1999-03-31,,,0.0,0.0
MXS,US5777301046,Maxus Energy Corp,1984-12-31,1994-12-31,,,0.0,0.0
MYG,US5785921074,Maytag Corp.,1970-03-31,2006-03-31,BBG002GPNDG1,,1.0,0.0
N (Inc),CA4532584022,Inco Ltd.,1970-03-31,2002-06-30,BBG000C4WXH1,,1.0,0.0
NAE (Nor),US6554190008,NorAm Energy Corp.,1989-03-31,1997-06-30,,,0.0,0.0
NCE,US64352U1034,New Century Energies Inc,1970-03-31,2000-06-30,BBG002GX31Y2,,1.0,0.0
NEC,US6357711083,National Education Corp,1989-03-31,1994-12-31,,,0.0,0.0
NFB,US6594241050,North Fork BanCorp,2002-09-30,2006-09-30,BBG002GPPZ61,352510.0,1.0,0.0
NGH,US62952P1021,Nabisco Group Holding Corp,1998-09-30,2000-09-30,,,0.0,0.0
NLC (Nal),US6298531020,Nalco Chemical Co,1990-03-31,1999-06-30,,,0.0,0.0
NLV,US3701201077,NextLevel Systems Inc,1996-06-30,1999-12-31,,,0.0,0.0
NMK,US6535201064,Niagara Mohawk Holdings Inc.,1970-03-31,2001-12-31,BBG002GPPVW1,,1.0,0.0
NRT,US6686051086,Norton Co,1988-06-30,1990-03-31,,,0.0,0.0
NSI,US6376572060,National Service Industries Inc,1986-12-31,2001-09-30,BBG002GPPLY1,,1.0,0.0
NXTL,US65332V1035,Nextel Communications Inc,1998-06-30,2005-06-30,BBG002GQ4RZ8,,1.0,0.0
NYN,US6707681002,Nynex Corp.,1983-12-31,1997-06-30,,,0.0,0.0
OAT,US7474021059,Quaker Oats Co,1970-03-31,2001-06-30,BBG002GPRLY9,81371.0,1.0,0.0
OK,US6798331038,Old Kent Financial Corp,1999-12-31,2001-03-31,BBG002GQS6B4,,1.0,0.0
OM,US6900201020,Outboard Marine Corp.,1973-03-31,1996-09-30,,,0.0,0.0
OMX (Old),US67622M1080,OfficeMax Inc (Old),1970-06-30,2008-03-31,BBG002GVQ518,,1.0,0.0
ONE,US06423A1034,Bank One Corp.,1988-06-30,2004-06-30,BBG002GLP3K5,,1.0,0.0
ORX,US68763F1003,Oryx Energy Co.,1988-12-31,1998-12-31,,,0.0,0.0
PAC,US6948901045,Pacific Telesis Group,1983-12-31,1997-03-31,,,0.0,0.0
PCI,US6992161074,Paramount Communications Inc,1978-12-31,1993-09-30,,,0.0,0.0
PCLB,US7414401015,Price Co,1985-09-30,1993-09-30,,,0.0,0.0
PCS (Sprint),US8520615068,Sprint PCS Group,1998-12-31,2004-03-31,,,0.0,0.0
PDG,CA7259061017,Placer Dome Inc.,1987-09-30,2002-06-30,BBG002GPR1R1,819996.0,1.0,0.0
PDQ,US7419171084,Prime Hospitality Corp,1986-09-30,1990-06-30,BBG002GPRBF2,,1.0,0.0
PEL,US6979261038,PanEnergy Corp.,1970-03-31,1997-03-31,,,0.0,0.0
PET (Old),69423210,Pacific Enterprises,1970-03-31,1998-03-31,,,0.0,0.0
PHA,US71713U1025,Pharmacia Corp.,1970-03-31,2003-03-31,BBG002GPP317,67686.0,1.0,0.0
PHB,US7236861016,Pioneer HI Bred International Inc,1993-12-31,1999-09-30,,,0.0,0.0
PHL (Phi),US7183201042,Philips Industries Inc,1988-03-31,1990-06-30,,,0.0,0.0
PIN (PSI),US6936320026,PSI Resources Inc,1976-09-30,1994-09-30,,,0.0,0.0
PMI (Prem),US7404591023,Premark Int'l Inc,1989-06-30,1996-03-31,,,0.0,0.0
PN (Pan),US6977571024,Pan Am Corp,1970-03-31,1990-12-31,,,0.0,0.0
PNU,US7169411094,Pharmacia & Upjohn Inc.,1995-12-31,2000-03-31,,,0.0,0.0
PPW,US59598X0029,Pacificorp,1989-03-31,1999-09-30,,,0.0,0.0
PSFT,US7127131065,People Soft Inc,1998-12-31,2004-09-30,BBG002GSN7H7,,1.0,0.0
PT,US7158251055,Pet Inc,1991-06-30,1994-12-31,,,0.0,0.0
PVN,US7440611025,Providian Corp.,1976-09-30,1997-03-31,,,0.0,0.0
PVN (Fin),US74406A1025,Providian Financial Corp,1997-06-30,2005-09-30,BBG002GX1XZ3,,1.0,0.0
PVT,US7438621044,Provident Companies Inc,1998-09-30,1999-06-30,,,0.0,0.0
PWJ,US6956291057,Paine Webber Group Inc,1999-06-30,2000-09-30,,,0.0,0.0
PZE,US70931Q1094,PennzEnergy Co.,1983-03-31,1998-09-30,,,0.0,0.0
QTRN,US7487671007,Quintiles Transnational Corp,1999-12-31,2003-06-30,BBG002GV1ZN5,,1.0,0.0
RAL,US7512773026,Ralston Purina Co.,1970-03-31,2001-09-30,BBG002GPRQP8,81870.0,1.0,0.0
RATL,US75409P2020,Rational Software Corp,2002-03-31,2002-12-31,BBG002GR4076,,1.0,0.0
RBD,US7810881091,Rubbermaid Inc.,1986-06-30,1998-12-31,,,0.0,0.0
RBK,US7581101000,Reebok Int'l Ltd,1987-03-31,2005-12-31,BBG002GPS172,770949.0,1.0,0.0
RD,US7802578044,Royal Dutch Petroleum,1970-03-31,2002-06-30,BBG002GPSJY3,,1.0,0.0
REN (Rol),US78648R2031,Safety Kleen Corp,1985-12-31,1995-03-31,,,0.0,0.0
RLM,US7617631012,Reynolds Metals Co,1970-03-31,2000-03-31,BBG002GPS5V6,83604.0,1.0,0.0
RML,US7823521080,Russell Corp.,1984-12-31,2000-09-30,BBG002GPSLL2,,1.0,0.0
RNB,US7607191043,Republic New York Corp,1995-09-30,1999-12-31,,,0.0,0.0
RSH,US74979E1010,RadioShack Corp.,1973-03-31,2011-06-30,,,0.0,0.0
RYAN,US7835201093,Ryan's Restaurant,1989-09-30,1996-12-31,BBG002GQXK18,,1.0,0.0
RYC,US7546031086,Raychem Corp.,1988-06-30,1999-06-30,,,0.0,0.0
SAI,US8669301009,Sunamerica Inc.,1970-06-30,1998-12-31,,,0.0,0.0
SB (Salomon),US1730730082,Salomon Inc.,1981-06-30,1997-09-30,,,0.0,0.0
SBL,US8715081076,Symbol Technologies Inc,2000-12-31,2006-12-31,BBG002GPVMP2,,1.0,0.0
SEBL,US8261701028,Siebel Systems Inc.,2000-06-30,2005-12-31,BBG002GW39J4,,1.0,0.0
SEG,US8118041032,Seagate Technology (Old),1996-09-30,2000-09-30,,,0.0,0.0
SFA,US8086551046,Scientific-Atlanta Inc,1981-03-31,2005-12-31,BBG002GPSY52,,1.0,0.0
SFS (Sant),US80218K1051,Santa Fe Snyder Corp.,1990-12-31,1997-06-30,,,0.0,0.0
SFX,US8021831032,Santa FE Pac Corp,1983-12-31,1995-06-30,,,0.0,0.0
SGI (Old),US8270561025,Silicon Graphics Inc (Old),1995-03-31,2000-03-31,BBG002GPTLK2,743821.0,1.0,0.0
SHN,US8250391005,Shoney's Inc.,1985-03-31,1996-12-31,,,0.0,0.0
SK (Old),US7864841058,Safety Kleen Corp (Old),1987-12-31,1998-03-31,,,0.0,0.0
SMI,US8517831009,Springs Industries Inc.,1970-03-31,2000-09-30,,,0.0,0.0
SMS,US8194861014,Shared Medical Systems Corp,1984-12-31,2000-03-31,,,0.0,0.0
SNC,US8204841030,Shawmut National Corp.,1989-06-30,1995-09-30,,,0.0,0.0
SNT,US8354151008,Sonat Inc.,1970-03-31,1999-09-30,,,0.0,0.0
SOTR,US8447301016,SouthTrust Corp,1999-03-31,2004-09-30,BBG002GQZFP1,,1.0,0.0
SOV (Sovran),84610410,Sovran Financial Corp.,1988-12-31,1990-06-30,,,0.0,0.0
SPC,US8148231009,Security Pacific Corp,1988-06-30,1992-03-31,,,0.0,0.0
SPP,US8098771038,Scott Paper Co.,1970-03-31,1995-09-30,,,0.0,0.0
SQD,US8522061014,Square D Co,1970-03-31,1991-03-31,,,0.0,0.0
STE,IE00BFY8C754,STERIS plc,2019-12-31,2020-06-30,,,0.0,0.0
STO,US8615891095,Stone Container Corp.,1982-12-31,1998-09-30,,,0.0,0.0
SUB,US8660051017,Summit Bancorp,1998-03-31,2000-12-31,,,0.0,0.0
SVU,US8685361037,Supervalu Inc.,1985-03-31,2012-03-31,,,0.0,0.0
SYN (Syn),PA8716161080,Syntex Corp,1985-09-30,1994-03-31,,,0.0,0.0
TA,US8934851028,Transamerica Corp.,1979-03-31,1999-06-30,,,0.0,0.0
TAP.B,US89420G1094,Travelers Property Casualty,2002-09-30,2004-03-31,BBG002GSDM76,919482.0,1.0,0.0
TCOMA,US87924V1017,Tele Communications Inc,1985-09-30,1998-12-31,,,0.0,0.0
TDM,US8753701080,Tandem Computers Inc.,1984-03-31,1997-06-30,,,0.0,0.0
THY,US8937191042,Transitional Hospitals Corp,1987-06-30,1996-09-30,,,0.0,0.0
TIC,US8941801081,Travelers Corp,1976-09-30,1993-09-30,,,0.0,0.0
TKA,US8902781041,Tonka Corp,1975-03-31,1991-03-31,,,0.0,0.0
TMC.A,US8873641075,Times Mirror Co Share,1970-03-31,2000-03-31,,,0.0,0.0
TOS,US8914903021,Tosco Corp.,1999-09-30,2001-06-30,BBG002GPW881,74091.0,1.0,0.0
TOY,US8923351006,"Toys ""R"" Us, Inc.",1983-09-30,2005-06-30,BBG002GPW952,,1.0,0.0
TRW (TRW),US8726491082,TRW Inc.,1970-03-31,2002-09-30,BBG002GPWJP8,,1.0,0.0
TWX (Old),US8873151091,Time Warner Inc. (Old),1970-03-31,2000-12-31,,,0.0,0.0
TXU (Gas),US8731701046,TXU Gas Co.,1970-03-31,1997-06-30,,,0.0,0.0
U,US9119051079,US Airways Group (Old),1986-12-31,2002-03-31,BBG002GPX6D8,701345.0,1.0,0.0
UCC,US9055301017,Union Camp Corp.,1970-03-31,1999-03-31,,,0.0,0.0
UCL,US9152891027,Unocal Co,1970-03-31,2005-06-30,BBG002GPX1V9,,1.0,0.0
UCM,US9060421065,Unicom Corp Holding Co,1970-03-31,2000-09-30,,,0.0,0.0
UH,US9119201062,U.S. Home Corp,1974-06-30,1991-03-31,,,0.0,0.0
UK,US9055811049,Union Carbide Corp Holding Co,1970-03-31,2000-12-31,BBG002GPWS87,100790.0,1.0,0.0
UMG,US58440J1043,MediaOne Group Inc.,1995-12-31,2000-03-31,,,0.0,0.0
UPC,US9080681094,Union Planters Corp.,1998-12-31,2004-06-30,BBG002GPWVD4,,1.0,0.0
UPJ,91530210,Upjohn Co.,1980-06-30,1995-09-30,,,0.0,0.0
UPR,US9078341057,Union Pacific Resources Group Inc,1996-12-31,2000-06-30,,,0.0,0.0
USB (FBS),91159610,U.S. Bancorp (First Bank),1995-12-31,2000-12-31,,,0.0,0.0
USBC,US9115961040,United States Bancorp (Orig),1990-12-31,1997-06-30,,,0.0,0.0
USH,US9173181077,USLife Corp.,1982-12-31,1997-03-31,,,0.0,0.0
USHC,US9119101072,United States Healthcare Inc,1994-06-30,1996-06-30,,,0.0,0.0
USS,US9127071069,United States Surgical Corp,1992-09-30,1998-09-30,,,0.0,0.0
USW,US91299X9322,US West Inc.,1983-12-31,2000-06-30,,,0.0,0.0
VAT,US92224R6027,Varity Corp.,1970-03-31,1996-06-30,,,0.0,0.0
VIAC,US92556H2067,ViacomCBS Inc,1994-09-30,2020-06-30,,,0.0,0.0
VO,CA8118501060,Seagram Co. Ltd.,1970-03-31,2000-09-30,,,0.0,0.0
WAI,US9576741048,Western Atlas Inc.,1994-03-31,1998-06-30,,,0.0,0.0
