Ticker,ISIN Code,Company Name,min_date,max_date
CFC,US2223721042,Countrywide Financial Corp.,1997-06-30,2008-06-30
CFG,US1746101054,Citizens Financial Group Inc,2016-03-31,2020-06-30
CFL,US2186951040,Corestates Financial Corp.,1990-12-31,1998-03-31
CFN,US14170T1016,CareFusion Corp,2009-09-30,2014-12-31
CG,US1976480095,Columbia Energy Group,1970-03-31,2000-09-30
CGP,US1904411055,Coastal Corp.,1985-06-30,2000-12-31
CHA,US1585251051,Champion International Corp,1970-06-30,2000-03-31
CHD,US1713401024,Church & Dwight Co Inc,2015-12-31,2020-06-30
CHIR,US1700401094,Chiron Corp.,2000-12-31,2006-03-31
CHK,US1651671075,Chesapeake Energy Corp,2006-03-31,2018-02-28
CHRS (Char),US1611331034,Charming Shoppes Inc.,1987-03-31,1998-03-31
CHRW,US12541W2098,C.H. Robinson Worldwide Inc,2007-03-31,2020-06-30
CHTR,US16119P1084,Charter Communications Inc,2016-09-30,2020-06-30
CI,US1255231003,Cigna Corp.,1982-06-30,2020-06-30
CIC,US2113271017,Continental Corp,1976-09-30,1995-03-31
CIEN,US1717793095,Ciena Corp.,2001-09-30,2009-09-30
CIN,US1724741087,Cinergy Corp.,1970-03-31,2006-03-31
CINF,US1720621010,Cincinnati Financial Corp,1997-12-31,2020-06-30
CIT,US1255771065,CIT Group Inc.,2000-09-30,2009-06-30
CKL,US1813961026,Clark Equipment Co,1970-03-31,1995-03-31
CL,US1941621039,Colgate-Palmolive Co,1970-03-31,2020-06-30
CLF,US1858991011,Cleveland-Cliffs Inc,2009-12-31,2014-03-31
CLX,US1890541097,Clorox Co,1970-03-31,2020-06-30
CMA,US2003401070,Comerica Inc.,1995-12-31,2020-06-30
CMB,US1616101002,Chase Manhattan Corp. (Old),1976-09-30,1996-03-31
CMCSA,US20030N1019,Comcast Corp Class A,2002-12-31,2020-06-30
CMCSK,US20030N2009,Comcast Class A Spec.,2015-09-30,2015-09-30
CMCSK (Old),US2003001011,Comcast Corp (Old),1987-12-31,2002-09-30
CME,US12572Q1058,CME Group Inc.,2006-09-30,2020-06-30
CMG,US1696561059,Chipotle Mexican Grill Inc,2011-06-30,2020-06-30
CMI,US2310211063,Cummins Inc.,1970-03-31,2020-06-30
CMS,US1258961002,CMS Energy Corp,1970-03-31,2020-06-30
CMVT,US2058624022,Comverse Technology Inc,1999-12-31,2006-12-31
CMX,US1417051034,Caremark Rx,2004-03-31,2006-12-31
CNA,US1261171003,CNA Financial Corp,1976-09-30,1993-12-31
CNC,US15135B1017,Centene Corp,2016-03-31,2020-06-30
CNG,US2096150048,Consolidated Natural Gas Co,1970-03-31,1999-12-31
CNO,US12621E1038,CNO Financial Group,1997-03-31,2002-06-30
CNP,US15189T1079,CenterPoint Energy Inc,1985-09-30,2020-06-30
CNW,US2059441012,Con-Way Inc.,1976-09-30,1996-09-30
CNX,US12653C1080,Consol Energy Inc.,2006-06-30,2015-12-31
CNXT,US2071423089,Conexant Systems,2000-03-31,2002-03-31
COC.B,US2082513068,Conoco Inc.,1999-09-30,2002-06-30
COF,US14040H1059,Capital One Financial Corp,1998-09-30,2020-06-30
COG,US1270971039,Cabot Oil & Gas Corp,2008-06-30,2020-06-30
COL,US7743411016,Rockwell Collins Inc,2001-09-30,2018-11-30
COMS,US8855351040,3Com Corp.,1996-03-31,2000-06-30
COO,US2166484020,The Cooper Companies Inc,2016-09-30,2020-06-30
COOP,US62482R1077,Mr. Cooper Group Inc,1997-09-30,2008-06-30
COP,US20825C1045,ConocoPhillips,1970-03-31,2020-06-30
COST,US22160K1051,Costco Wholesale Corp,1993-12-31,2020-06-30
COTY,US2220702037,Coty Inc,2016-10-31,2020-06-30
COV,IE00B68SQD29,Covidien Plc,2007-09-30,2014-12-31
CPB,US1344291091,Campbell Soup Co,1970-03-31,2020-06-30
CPGX,US1982801094,Columbia Pipeline Group Inc.,2015-09-30,2016-06-30
CPN,US1313471062,Calpine Corp.,2000-12-31,2005-09-30
CPQ,US2044931002,Compaq Computer Corp,1988-03-31,2002-03-31
CPRI,VGG1890L1076,Capri Holdings Ltd,2013-12-31,2020-04-30
CPRT,US2172041061,Copart Inc,2018-07-31,2020-06-30
CPWR,US2056381096,Compuware Corp,1999-03-31,2011-12-31
CR,US2243991054,Crane Co.,1970-03-31,2004-09-30
CRM,US79466L3024,Salesforce.com Inc,2008-09-30,2020-06-30
CRR (Con),US2083681005,Conrail Inc.,1987-09-30,1997-03-31
CSC,US2053631048,Computer Sciences Corp.,1981-06-30,2015-09-30
CSCO,US17275R1023,Cisco Systems Inc,1993-12-31,2020-06-30
CSE,US14743R1032,Case Corp.,1996-03-31,1999-09-30
CSR,US1523571099,Central & South West Corp,1970-03-31,2000-03-31
CSRA,US12650T1043,CSRA Inc,2015-12-31,2018-03-31
CSX,US1264081035,CSX Corp.,1980-12-31,2020-06-30
CTAS,US1729081059,Cintas Corp.,2001-03-31,2020-06-30
CTB,US2168311072,Cooper Tire & Rubber Co.,1990-06-30,2006-06-30
CTCO (Cro),US2274301058,Cross & Trecker Corp,1982-09-30,1991-09-30
CTL,US1567001060,CenturyLink Inc.,1999-03-31,2020-06-30
CTSH,US1924461023,Cognizant Technology Solutions Corp,2006-12-31,2020-06-30
CTVA,US22052L1044,Corteva Inc.,2019-06-30,2020-06-30
CTX,US1523121044,Centex Corp.,1977-06-30,2009-06-30
CTXS,US1773761002,Citrix Systems Inc,1999-12-31,2020-06-30
CUE (Qua),US7476331050,Quantum Chemical Corp,1970-03-31,1993-09-30
CVA,US22282E1029,Covanta Holding Corp,1987-12-31,1996-06-30
CVG,US2124851062,Convergys Corp.,2000-06-30,2009-09-30
CVH,US2228621049,Coventry Corp,2005-09-30,2013-03-31
CVN (C&S),US12467H1032,C&S/Sovran Corp,1990-09-30,1991-12-31
CVS,US1266501006,CVS Health Corp.,1970-03-31,2020-06-30
CVX,US1667641005,Chevron Corp.,1970-03-31,2020-06-30
CXO,US20605P1012,Concho Resources Inc,2016-03-31,2020-06-30
CYM,US2328091036,Cyprus Amax Minerals Co,1989-09-30,1999-09-30
CYR,US2252241045,Cray Research Inc,1985-06-30,1995-12-31
CZR,US1276861036,Harrah's Entertainment,1990-03-31,2007-12-31
D,US25746U1097,Dominion Resources Inc,1983-06-30,2020-06-30
DAL,US2473617023,Delta Air Lines Inc,1970-03-31,2020-06-30
DAN,US2358252052,Dana Inc,1970-03-31,2005-12-31
DD,US26614N1028,DuPont de Nemours Inc,1970-03-31,2020-06-30
DD (Old),US2635341090,DuPont Co (Old),1970-03-31,2017-08-31
DDS,US2540671011,Dillard's Inc.,1986-12-31,2008-09-30
DE,US2441991054,Deere & Co.,1970-03-31,2020-06-30
DEC,US2538491034,Digital Equipment Corp,1975-12-31,1998-03-31
DELL,US24702R1014,Dell Inc,1996-09-30,2013-09-30
DF,US2423702032,Dean Foods Co,2006-06-30,2013-03-31
DFS,US2547091080,Discover Financial Services,2007-09-30,2020-06-30
DG,US2566771059,Dollar General Corp,1998-09-30,2020-06-30
DGN,US2376881064,Data General Corp.,1981-06-30,1999-09-30
DGX,US74834L1008,Quest Diagnostics Inc,2002-12-31,2020-06-30
DHI,US23331A1097,D.R. Horton Inc,2005-09-30,2020-06-30
DHR,US2358511028,Danaher Corp.,1998-12-31,2020-06-30
DI,US2615971080,Dresser Industries Inc.,1970-03-31,1998-09-30
DIGI,US2333111092,DSC Communications Corp.,1984-09-30,1998-06-30
DIS,US2546871060,Walt Disney Co,1976-09-30,2020-06-30
DISCA,US25470F1049,Discovery Communications Inc Class A,2010-03-31,2020-06-30
DISCK,US25470F3029,Discovery Com Class C,2014-09-30,2020-06-30
DISH,US25470M1099,DISH Network Corp,2017-03-31,2020-06-30
DJ,US2605611050,Dow Jones & Co. Inc.,1978-06-30,2007-09-30
DLR,US2538681030,Digital Realty Trust,2016-06-30,2020-06-30
DLTR,US2567461080,Dollar Tree Inc,2011-12-31,2020-06-30
DLX,US2480191012,Deluxe Corp.,1986-06-30,2004-09-30
DNA,US3687103073,Genentech Inc,1986-09-30,1990-03-31
DNB,US26483E1001,Dun & Bradstreet Corp,1979-12-31,2017-03-31
DNR,US2479162081,Denbury Resources Inc.,2009-06-30,2014-12-31
DO,US25271C1027,Diamond Offshore Drilling Inc,2009-03-31,2016-09-30
DOV,US2600031080,Dover Corp.,1985-12-31,2020-06-30
DOW,US2605571031,Dow Inc,2019-04-30,2020-06-30
DPH,US2471261055,Delphi Corp. (Old),1999-06-30,2005-09-30
DPS,US26138E1091,Dr Pepper Snapple Group Inc,2008-12-31,2018-06-30
DPT,US1494791072,Datapoint Corp,1981-06-30,1991-03-31
DPZ,US25754A2015,Domino's Pizza Inc,2020-05-31,2020-06-30
DRE,US2644115055,Duke Realty,2017-07-31,2020-06-30
DRI,US2371941053,Darden Restaurants Inc,1995-06-30,2020-06-30
DTE,US2333311072,DTE Energy Co.,1970-03-31,2020-06-30
DTV,US25490A3095,DirecTV,2006-12-31,2015-06-30
DUK,US26441C2044,Duke Energy Corp,1976-09-30,2020-06-30
DVA,US23918K1088,DaVita Inc.,2008-09-30,2020-06-30
DVN,US25179M1036,Devon Energy Corp.,2000-09-30,2020-06-30
DWD,US24240V1017,Dean Witter Discover & Co.,1993-09-30,1997-03-31
DXC,US23355L1061,DXC Technology,2017-04-30,2020-06-30
DXCM,US2521311074,DexCom Inc,2020-05-31,2020-06-30
DYN,US26817R1086,Dynegy Inc.,2000-12-31,2009-09-30
E,US8935321013,Transco Energy Co,1991-06-30,1994-12-31
EA,US2855121099,Electronic Arts Inc,2002-09-30,2020-06-30
EBAY,US2786421030,eBay Inc.,2002-09-30,2020-06-30
EC,US2928451044,Engelhard Corp.,1970-03-31,2006-03-31
ECH,US2787491065,Echlin Inc.,1973-12-31,1998-06-30
ECL,US2788651006,Ecolab Inc.,1989-03-31,2020-06-30
ECO,CA2787511021,Echo Bay Mines Ltd,1990-03-31,1997-12-31
ED,US2091151041,Consolidated Edison Inc,1970-03-31,2020-06-30
EDS,US2856611049,Electronic Data Systems Corp,1981-06-30,2008-06-30
EFU,US27637F1003,Eastern Enterprises,1970-03-31,2000-09-30
EFX,US2944291051,Equifax Inc.,1997-06-30,2020-06-30
EHC,US29261A1007,HealthSouth Corp.,1997-03-31,2002-12-31
EIX,US2810201077,Edison International,1970-03-31,2020-06-30
EL,US5184391044,Estee Lauder Companies Inc,2006-03-31,2020-06-30
EMC,US2686481027,EMC Corp.,1996-03-31,2016-08-31
EMN,US2774321002,Eastman Chemical Co,1994-03-31,2020-06-30
EMR,US2910111044,Emerson Electric Co,1970-03-31,2020-06-30
ENDP,IE00BJ3V9050,Endo Int'l plc,2015-03-31,2017-02-28
ENRNQ,US2935611069,Enron Corp.,1970-03-31,2001-09-30
EOG,US26875P1012,EOG Resources Inc,2000-12-31,2020-06-30
EOP,US2947411037,Equity Office Properties Trust,2001-12-31,2006-12-31
EP,US28336L1098,El Paso Corp.,1999-12-31,2012-03-31
EQ (Emb),US29078E1055,Embarq Corporation,2006-06-30,2009-06-30
EQIX,US29444U7000,Equinix Inc,2015-03-31,2020-06-30
EQR,US29476L1070,Equity Residential,2001-12-31,2020-06-30
EQT,US26884L1098,EQT Corp,1970-03-31,2018-10-31
ES,US30040W1080,Eversource Energy,2009-03-31,2020-06-30
ESRX,US30219G1085,Express Scripts Holding Co,2003-09-30,2018-11-30
ESS,US2971781057,Essex Property Trust,2014-06-30,2020-06-30
ESY,US2691573016,E-Systems Inc,1985-12-31,1995-03-31
ETFC,US2692464017,E*Trade Financial Corp.,2004-06-30,2020-06-30
ETN,IE00B8KQN827,Eaton Corporation plc,1970-03-31,2020-06-30
ETR,US29364G1031,Entergy Corp.,1970-03-31,2020-06-30
ETS,US2936374014,Enterasys Networks Inc.,1995-06-30,2001-06-30
EVHC,US29414D1000,Envision Healthcare Holdings Inc,2016-12-31,2018-09-30
EVRG,US30034W1062,Evergy Inc,2018-06-30,2020-06-30
