Ticker,ISIN Code,Company Name,min_date,max_date,figi,cik
BAC,US0605051046,Bank of America Corp.,1976-09-30,2020-06-30,BBG000BCTN44,0000070858
BAC (Old),US0660501059,BankAmerica Corp. (Old),1976-09-30,1998-09-30,,
BAX,US0718131099,Baxter International Inc.,1972-09-30,2020-06-30,BBG000BCVLK7,0000010456
BAY,US0725101002,Bay Networks Inc.,1996-03-31,1998-06-30,,
BBBY,US0758961009,Bed Bath & Beyond Inc,1999-12-31,2017-06-30,BBG000CSZQZ0,0000886158
BBI (Bar),US0680551027,Barnett Banks Inc.,1984-12-31,1997-12-31,,
BBY,US0865161014,Best Buy Co. Inc.,1999-06-30,2020-06-30,BBG000BCWFH3,0000764478
BC,US1170431092,Brunswick Corp.,1973-03-31,2008-03-31,BBG000BCWW77,0000014930
BCO,US1096961040,Brinks Co.,1970-03-31,1995-12-31,BBG000DR5SG1,0000078890
BCR,US0673831097,C. R. Bard Inc,1975-06-30,2017-11-30,BBG000BCYRZ5,0000009892
BDK,US0917971006,Black & Decker Manufacturing,1976-03-31,2009-12-31,BBG002GLPSZ4,0000012355
BDX,US0758871091,Becton Dickinson & Co,1972-09-30,2020-06-30,BBG000BD00Y0,0000010795
BEAM (Sun),US0737301038,Beam Suntory Inc,1976-09-30,2014-03-31,BBG000FBRFG8,0001745999
BEN,US3546131018,Franklin Resources Inc,1998-06-30,2020-06-30,BBG000BD0WB5,0000038777
BEV,US0878513094,Beverly Enterprises Inc.,1986-06-30,1997-09-30,,
BF.B,US1156372096,Brown-Forman Corp.,1982-12-31,2020-06-30,BBG000BD2QH0,0000014693
BFI,US1158851055,Browning Ferris Industries Inc,1975-09-30,1999-06-30,,
BFO,US08658U1016,BestFoods,1970-03-31,2000-09-30,,
BGEN,US0905971059,Biogen NV,2000-03-31,2003-09-30,BBG002GPYW31,
BGG,US1090431099,Briggs & Stratton Corp,1970-03-31,2001-03-31,BBG000BD45D8,0000014195
BHF,US10922N1037,Brighthouse Financial Inc,2017-08-31,2019-03-31,BBG00DYPZ5D4,0001685040
BIG,US0893021032,Big Lots Inc.,1998-03-31,2012-12-31,BBG000J0DCQ9,0000768835
BIIB,US09062X1037,Biogen Idec Inc,2003-12-31,2020-06-30,BBG000C18861,0000875045
BIO,US0905722072,Bio-Rad Laboratories Inc,2020-06-30,2020-06-30,BBG000DY3DH0,0000012208
BJS,US0554821035,BJ Services Co.,2002-06-30,2010-03-31,BBG002GLPS84,
BK,US0640581007,Bank of New York Mellon Corp,1995-03-31,2020-06-30,BBG000BD8QV8,0001390777
BKB,US06605R1068,Bankboston Corp.,1976-09-30,1999-09-30,,
BKNG,US09857L1089,Booking Holdings Inc,2009-12-31,2020-06-30,BBG000BLC4L5,0001075531
BKR,US05722G1004,Baker Hughes Co,1987-06-30,2020-06-30,BBG00GCRFYF4,0001701605
BLK,US09247X1019,BlackRock Inc,2011-06-30,2020-06-30,BBG000C2PYL6,0001364742
BLL,US0584981064,Ball Corp,1984-12-31,2020-06-30,BBG000BDDPK6,0000009389
BLS,US0798601029,BellSouth Corp.,1983-12-31,2006-12-31,BBG002GLPJT1,0000732713
BLY,US05873C1062,Bally Entertainment Corp.,1985-12-31,1996-09-30,,
BMET,US0906131000,Biomet Inc.,1990-09-30,2007-06-30,BBG002GPYWW9,0000351346
BMGCA,US0715931079,Battle Mountain Gold Co,1996-09-30,1999-06-30,BBG002GLPFS0,
BMMI,US0556071050,BMC Industrial,1998-12-31,2013-06-30,,
BMS,US0814371052,Bemis Company Inc,1978-09-30,2014-09-30,BBG000BDHQ48,0000011199
BMY,US1101221083,Bristol-Myers Squibb Co,1970-03-31,2020-06-30,BBG000DQLWT2,0000014272
BNI,US12189T1043,Burlington Northern Santa Fe Corp,1970-03-31,2009-12-31,BBG002GLQ6M5,0000015511
BNL,US0817211024,Beneficial Corp.,1970-03-31,1998-06-30,,
BNSSA,US0559664026,BNS Holding Inc,1970-03-31,1992-06-30,BBG000DDK049,
BOAT,US0966501068,Boatmens Bancshares Inc.,1991-03-31,1996-12-31,,
BOL,US0717071031,Bausch & Lomb Inc.,1986-06-30,2007-09-30,BBG002GLPGH0,0000010427
BR,US11133T1034,Broadridge Financial Solutions Inc,2018-06-30,2020-06-30,BBG000PPFN90,0001383312
BR (OLD),US1220141030,Burlington Resources,1993-12-31,2006-03-31,BBG002GLQ789,0001383312
BRCM,US1113201073,Broadcom Corp.,2000-09-30,2015-12-31,BBG000BFF6Y6,0001054374
BRK.B,US0846707026,Berkshire Hathaway Inc,2010-03-31,2020-06-30,BBG000DWH8Q0,0001067983
BRL,US0683061099,Barr Pharmaceuticals Inc.,2006-03-31,2008-09-30,BBG002GQ3ZX3,
BRNO,US1168812022,Brunos Inc,1991-06-30,1995-06-30,,
BS,US0875091052,Bethlehem Steel Corp,1970-03-31,2000-09-30,BBG000K3T543,
BSC,US0739021089,Bear Stearns Co,1998-09-30,2008-03-31,BBG002GLPHX0,0000777001
BSET,US0702031040,Bassett Furniture Industries Inc,1982-06-30,1995-09-30,BBG000BDS301,0000010329
BSX,US1011371077,Boston Scientific Corp,1995-03-31,2020-06-30,BBG000C0LY07,0000885725
BT,US0663651075,Bankers Trust Corp.,1976-09-30,1999-03-31,,
BTU,US7045511000,Peabody Energy Corp,2006-12-31,2014-06-30,BBG00GBV88X1,0001064728
BUD (Anh),US0352291035,Anheuser-Busch Inc.,1976-09-30,2008-09-30,BBG002GLNG91,
BV (Blo),US0936761040,Blockbuster Entertainment,1991-03-31,1994-06-30,,
BVSN,US1114127061,BroadVision Inc.,2000-12-31,2001-06-30,BBG000P2G7N9,0000920448
BWA,US0997241064,BorgWarner Inc,1970-03-31,2020-06-30,BBG000BJ4D93,0000908255
BWY (Broa),US1115721037,Broadway Stores Inc,1973-09-30,1990-12-31,,
BXLT,US07177M1036,Baxalta,2015-09-30,2016-03-31,BBG00688QWL8,0001620546
BXP,US1011211018,Boston Properties,2006-06-30,2020-06-30,BBG000BS5F97,0001037540
C,US1729674242,Citigroup Inc.,1988-06-30,2020-06-30,BBG000FY4VG8,0000831001
C (Chrysler),US1711961086,Chrysler Corp.,1970-03-31,1998-09-30,,
CA,US12673P1057,CA Inc,1987-09-30,2018-10-31,BBG000BDWTY2,0000356028
CAG,US2058871029,ConAgra Brands Inc,1983-09-30,2020-06-30,BBG000BDXHW9,0000023217
CAH,US14149Y1082,Cardinal Health Inc.,1997-06-30,2020-06-30,BBG000D89CS1,0000721371
CAL,US1295001044,Caleres Inc,1970-03-31,1996-06-30,BBG000CYSJ81,0000014707
CAM,US13342B1052,Cameron International Corp,2008-03-31,2016-03-31,BBG000BZ2JC2,0000941548
CAR,US0537741052,Avis Budget Group,1995-06-30,2006-06-30,BBG000FLRB48,0000723612
CARR,US14448C1045,Carrier Global Corp,2020-04-30,2020-06-30,BBG00RP5HYX2,0001783180
CAT,US1491231015,Caterpillar Inc.,1970-03-31,2020-06-30,BBG000BF0LJ6,0000018230
CB,CH0044328745,Chubb Ltd,2002-03-31,2020-06-30,BBG000BR16M8,0000896159
CB (Old),US1712321017,Chubb Corp. (Old),1976-09-30,2015-12-31,BBG000BF1SD6,0000896159
CBB (Cal),US1298941014,Caliber System Inc,1976-09-30,1997-12-31,,
CBE,IE00B40K9117,Cooper Industries plc,1970-03-31,2012-09-30,BBG000BF2MM8,0001141982
CBH,US2005191067,Commerce Bancorp (New Jersey),2006-06-30,2007-12-31,BBG002GQ77C4,0001701809
CBL (Cor),US2202911085,Corroon & Black Corp,1988-12-31,1990-09-30,,
CBOE,US12503M1080,CBOE Holdings Inc,2017-03-31,2020-06-30,BBG000QH5DQ1,0001374310
CBRE,US12504L1098,CBRE Group Inc,2006-12-31,2020-06-30,BBG000C043Q6,0001138118
CBS (Inc),US1248451080,CBS Inc.,1970-03-31,1995-09-30,,
CBS (Old),US12490K1079,CBS Corp. (Old),1970-03-31,2000-03-31,,
CBSS,US20449H1095,Compass Bancshares Inc,2004-12-31,2007-06-30,BBG002GQ55L0,0000018568
CC (Circ),US1727371080,Circuit City Stores Inc.,1989-06-30,2007-12-31,BBG000BF4XS6,0000104599
CCB (Cap),US1398591024,Capital Cities/ABC Inc.,1970-03-31,1995-12-31,,
CCE,US19122T1097,Coca-Cola European Partners plc,1998-12-31,2016-03-31,BBG000BF5TP7,0001491675
CCI,US22822V1017,Crown Castle Int'l Corp.,2012-03-31,2020-06-30,BBG000FV22P0,0001051470
CCI (Citi),US17399Z9316,Citicorp Inc (Old),1976-09-30,1998-09-30,,
CCK,US2283681060,Crown Holdings Inc,1970-03-31,2000-09-30,BBG000BF68R0,0001219601
CCL,PA1436583006,Carnival Corp.,1998-12-31,2020-06-30,BBG000BF6PR2,0000815097
CDNS,US1273871087,Cadence Design Systems Inc,2017-09-30,2020-06-30,BBG000C13KQ7,0000813672
CDW,US12514G1085,CDW Corp,2019-09-30,2020-06-30,BBG004CH8XX3,0001402057
CE,US1508701034,Celanese Corp,2018-12-31,2020-06-30,BBG000JYPCR1,0001306830
CE (Con),US2061971055,Concord EFS Inc.,2001-06-30,2003-12-31,BBG002GQ5QD3,0001306830
CEG,US2103711006,Constellation Energy Group Inc,1970-03-31,2011-12-31,BBG000G5H9M8,0001004440
CELG,US1510201049,Celgene Corp.,2006-12-31,2019-10-31,BBG000BFCMR2,0000816284
CEM,US16361A1060,Chemfirst Inc,1975-03-31,1995-09-30,BBG002GWTWM1,0001488775
CEN,US1567791009,Ceridian Corp.,1970-03-31,2001-03-31,BBG002GXVH85,
CEPH,US1567081096,Cephalon Inc.,2008-12-31,2011-09-30,BBG000C8H3F7,0000873364
CERN,US1567821046,Cerner Corp,2010-06-30,2020-06-30,BBG000BFDXQ8,0000804753
CF,US1252691001,CF Industries Holdings Inc.,2008-09-30,2020-06-30,BBG000BWJJP7,0001324404
CF (Char),US1609031000,Charter One Financial Inc,2000-06-30,2004-06-30,BBG002GQ79P6,0001324404
CFC,US2223721042,Countrywide Financial Corp.,1997-06-30,2008-06-30,BBG002GLS670,0000025191
CFG,US1746101054,Citizens Financial Group Inc,2016-03-31,2020-06-30,BBG006Q0HYC1,0000759944
CFL,US2186951040,Corestates Financial Corp.,1990-12-31,1998-03-31,,
CFN,US14170T1016,CareFusion Corp,2009-09-30,2014-12-31,BBG000JB2B34,0001457543
CG,US1976480095,Columbia Energy Group,1970-03-31,2000-09-30,,
CGP,US1904411055,Coastal Corp.,1985-06-30,2000-12-31,BBG002GLRK70,0000734627
CHA,US1585251051,Champion International Corp,1970-06-30,2000-03-31,,
CHD,US1713401024,Church & Dwight Co Inc,2015-12-31,2020-06-30,BBG000BFJW57,0000313927
CHIR,US1700401094,Chiron Corp.,2000-12-31,2006-03-31,BBG002GPZ085,
CHK,US1651671075,Chesapeake Energy Corp,2006-03-31,2018-02-28,BBG000BL4728,0000895126
CHRS (Char),US1611331034,Charming Shoppes Inc.,1987-03-31,1998-03-31,,
CHRW,US12541W2098,C.H. Robinson Worldwide Inc,2007-03-31,2020-06-30,BBG000BTCSJ8,0001043277
CHTR,US16119P1084,Charter Communications Inc,2016-09-30,2020-06-30,BBG00B550NP0,0001091667
CI,US1255231003,Cigna Corp.,1982-06-30,2020-06-30,,
CIC,US2113271017,Continental Corp,1976-09-30,1995-03-31,,
CIEN,US1717793095,Ciena Corp.,2001-09-30,2009-09-30,BBG000BP13M9,0000936395
CIN,US1724741087,Cinergy Corp.,1970-03-31,2006-03-31,BBG002GLR7W1,
CINF,US1720621010,Cincinnati Financial Corp,1997-12-31,2020-06-30,BBG000BFPVV3,0000020286
CIT,US1255771065,CIT Group Inc.,2000-09-30,2009-06-30,,
CKL,US1813961026,Clark Equipment Co,1970-03-31,1995-03-31,,
CL,US1941621039,Colgate-Palmolive Co,1970-03-31,2020-06-30,BBG000BFR0Y6,0000021665
CLF,US1858991011,Cleveland-Cliffs Inc,2009-12-31,2014-03-31,BBG000BFRH97,0000764065
CLX,US1890541097,Clorox Co,1970-03-31,2020-06-30,BBG000BFS949,0000021076
CMA,US2003401070,Comerica Inc.,1995-12-31,2020-06-30,BBG000C75Q34,0000028412
CMB,US1616101002,Chase Manhattan Corp. (Old),1976-09-30,1996-03-31,,
CMCSA,US20030N1019,Comcast Corp Class A,2002-12-31,2020-06-30,BBG000BFTG15,0001166691
CMCSK,US20030N2009,Comcast Class A Spec.,2015-09-30,2015-09-30,BBG000BFTX27,0001166691
CMCSK (Old),US2003001011,Comcast Corp (Old),1987-12-31,2002-09-30,,0001166691
CME,US12572Q1058,CME Group Inc.,2006-09-30,2020-06-30,BBG000BHMC53,0001156375
CMG,US1696561059,Chipotle Mexican Grill Inc,2011-06-30,2020-06-30,BBG000QX7705,0001058090
CMI,US2310211063,Cummins Inc.,1970-03-31,2020-06-30,BBG000BGPXY4,0000026172
CMS,US1258961002,CMS Energy Corp,1970-03-31,2020-06-30,BBG000BFVZB9,0000811156
CMVT,US2058624022,Comverse Technology Inc,1999-12-31,2006-12-31,BBG000BFXST4,0000789205
CMX,US1417051034,Caremark Rx,2004-03-31,2006-12-31,BBG002GVR250,
CNA,US1261171003,CNA Financial Corp,1976-09-30,1993-12-31,BBG000BFYCD5,0000021175
CNC,US15135B1017,Centene Corp,2016-03-31,2020-06-30,BBG000BDXFR9,0001071739
CNG,US2096150048,Consolidated Natural Gas Co,1970-03-31,1999-12-31,,
CNO,US12621E1038,CNO Financial Group,1997-03-31,2002-06-30,BBG000Q1GLM0,0001224608
CNP,US15189T1079,CenterPoint Energy Inc,1985-09-30,2020-06-30,BBG000FDC0R1,0001130310
CNW,US2059441012,Con-Way Inc.,1976-09-30,1996-09-30,BBG000BFZ3C5,0000023675
CNX,US12653C1080,Consol Energy Inc.,2006-06-30,2015-12-31,BBG000CKVVL5,0001070412
CNXT,US2071423089,Conexant Systems,2000-03-31,2002-03-31,BBG000BDS436,0001069353
COC.B,US2082513068,Conoco Inc.,1999-09-30,2002-06-30,BBG002GX5679,0001066806
COF,US14040H1059,Capital One Financial Corp,1998-09-30,2020-06-30,BBG000BGKVR1,0000927628
COG,US1270971039,Cabot Oil & Gas Corp,2008-06-30,2020-06-30,BBG000C3GR48,0000858470
COL,US7743411016,Rockwell Collins Inc,2001-09-30,2018-11-30,BBG000BN2076,0001137411
COMS,US8855351040,3Com Corp.,1996-03-31,2000-06-30,BBG002GPYRW0,
COO,US2166484020,The Cooper Companies Inc,2016-09-30,2020-06-30,BBG000BG36M0,0000711404
COOP,US62482R1077,Mr. Cooper Group Inc,1997-09-30,2008-06-30,BBG002V09901,0000933136
COP,US20825C1045,ConocoPhillips,1970-03-31,2020-06-30,BBG000BQQJR0,0001163165
COST,US22160K1051,Costco Wholesale Corp,1993-12-31,2020-06-30,BBG000F6HLL1,0000909832
COTY,US2220702037,Coty Inc,2016-10-31,2020-06-30,BBG0035Q1NX2,0001024305
COV,IE00B68SQD29,Covidien Plc,2007-09-30,2014-12-31,BBG000GC95S4,0001385187
CPB,US1344291091,Campbell Soup Co,1970-03-31,2020-06-30,BBG000BG44X2,0000016732
CPGX,US1982801094,Columbia Pipeline Group Inc.,2015-09-30,2016-06-30,BBG0077WZ294,0001629995
CPN,US1313471062,Calpine Corp.,2000-12-31,2005-09-30,,
CPQ,US2044931002,Compaq Computer Corp,1988-03-31,2002-03-31,BBG002GLRVT2,
CPRI,VGG1890L1076,Capri Holdings Ltd,2013-12-31,2020-04-30,BBG0029SNRB7,0001530721
CPRT,US2172041061,Copart Inc,2018-07-31,2020-06-30,BBG000BMB210,0000900075
CPWR,US2056381096,Compuware Corp,1999-03-31,2011-12-31,BBG000BGPQX0,0000859014
CR,US2243991054,Crane Co.,1970-03-31,2004-09-30,BBG000BG76G3,0000025445
CRM,US79466L3024,Salesforce.com Inc,2008-09-30,2020-06-30,BBG000BN2GH0,0001108524
CRR (Con),US2083681005,Conrail Inc.,1987-09-30,1997-03-31,,
CSC,US2053631048,Computer Sciences Corp.,1981-06-30,2015-09-30,BBG000BGG138,0000023082
CSCO,US17275R1023,Cisco Systems Inc,1993-12-31,2020-06-30,BBG000C3JBN9,0000858877
CSE,US14743R1032,Case Corp.,1996-03-31,1999-09-30,,
CSR,US1523571099,Central & South West Corp,1970-03-31,2000-03-31,,
